document,term,tfidf
République VI_corrected,domaine,0.07882162035060446
République VI_corrected,roys,0.07686828843285629
République VI_corrected,loy,0.07399661506371215
République VI_corrected,iuftice,0.07389850359885725
République VI_corrected,grains,0.07190071747531514
République VI_corrected,prince,0.07134381188322714
République VI_corrected,efcus,0.06799869630618109
République VI_corrected,monarchie,0.06775893679262489
République V_corrected,bien,0.2755638806568333
République V_corrected,estat,0.20149468558034359
République V_corrected,peuples,0.17713667534507146
République V_corrected,sujets,0.16486545434272856
République V_corrected,roy,0.1636216876344961
République V_corrected,peuple,0.15534238370360703
République V_corrected,meridional,0.13801302736533672
République V_corrected,pays,0.12399567274155004
République V_corrected,republique,0.1103156169107433
République V_corrected,guerre,0.09431840028822085
République V_corrected,tousjours,0.09344999911268902
République V_corrected,romains,0.09094988599221297
République V_corrected,faire,0.0892386164323631
République V_corrected,hommes,0.0891530202125049
République V_corrected,biens,0.0853476708480799
République V_corrected,prince,0.08147873674259239
République V_corrected,peu,0.07969739685663316
République V_corrected,paix,0.07934982970772765
République V_corrected,empereur,0.07931986994667785
République V_corrected,estats,0.07771048587605182
République V_corrected,foit,0.07759879689770705
République V_corrected,és,0.07568567037471237
République V_corrected,ville,0.07410731451217353
République V_corrected,septentrion,0.07348629709400765
République V_corrected,midy,0.07179624624602694
République V_corrected,moins,0.07024177350076144
République V_corrected,populaire,0.07019011627514359
République V_corrected,faut,0.06889097016420832
République V_corrected,ennemis,0.06874388728712079
République V_corrected,moyen,0.06854560392630789
Réublique Preface_corrected,republiques,0.16115863139444417
Réublique Preface_corrected,princes,0.15856576870756292
Réublique Preface_corrected,iustice,0.1449176311649895
Réublique Preface_corrected,estat,0.1416653743615432
Réublique Preface_corrected,republique,0.11565946672173627
Réublique Preface_corrected,affaires,0.11032701414938749
Réublique Preface_corrected,oeuvre,0.10642347192140479
Réublique Preface_corrected,mieux,0.09687069463230094
Réublique Preface_corrected,sciences,0.0938881278365425
Réublique Preface_corrected,faire,0.09274788755572735
Réublique Preface_corrected,fleurissant,0.08499415966735703
Réublique Preface_corrected,bien,0.08072557886025078
Réublique Preface_corrected,macciavel,0.07809546199866503
Réublique Preface_corrected,maniement,0.07245881558249476
Réublique Preface_corrected,loix,0.06745688520766445
Réublique Preface_corrected,efl,0.06619620848963251
Réublique Preface_corrected,fois,0.06458046308820063
Réublique Preface_corrected,moins,0.06458046308820063
Réublique Preface_corrected,appetits,0.06356484741330928
Réublique Preface_corrected,magistrats,0.06356484741330928
Réublique Preface_corrected,politiques,0.06356484741330928
Réublique Preface_corrected,presque,0.06356484741330928
Réublique Preface_corrected,renuerfer,0.06356484741330928
Réublique Preface_corrected,sujets,0.06356484741330928
Réublique Preface_corrected,tyrannie,0.06356484741330928
Réublique Preface_corrected,age,0.06320330273889233
Réublique Preface_corrected,cr,0.06320330273889233
Réublique Preface_corrected,royaume,0.06320330273889233
Réublique Preface_corrected,grand,0.06183192503715157
Réublique Preface_corrected,populaire,0.059923471497632455
Théatre III_corrected,animaux,0.24323339331697919
Théatre III_corrected,pourquoy,0.1788512588870425
Théatre III_corrected,plantes,0.17077300872748125
Théatre III_corrected,nature,0.14021315817781319
Théatre III_corrected,grand,0.13419140231480686
Théatre III_corrected,arbres,0.10759728544956204
Théatre III_corrected,fois,0.10264979192699576
Théatre III_corrected,moins,0.09672768854659215
Théatre III_corrected,chaleur,0.09523879332878762
Théatre III_corrected,homme,0.08093541286551588
Théatre III_corrected,fort,0.07938082953833644
Théatre III_corrected,arbre,0.07638874088837364
Théatre III_corrected,petits,0.07636397232044696
Théatre III_corrected,année,0.07274458834714437
Théatre III_corrected,femelle,0.07274458834714437
Théatre III_corrected,vient,0.07216853729740384
Théatre III_corrected,fin,0.07182075053468535
Théatre III_corrected,force,0.07106524056484322
Théatre III_corrected,hommes,0.07106524056484322
Théatre III_corrected,là,0.07106524056484322
Théatre III_corrected,chose,0.07010657908890659
Théatre III_corrected,terre,0.06893352263768816
Théatre III_corrected,chaftrez,0.06754854632234834
Théatre III_corrected,durée,0.0664455744324842
Théatre III_corrected,efpeces,0.0655125051129741
Théatre III_corrected,choses,0.06514313718443962
Théatre III_corrected,fortes,0.06514313718443962
Théatre III_corrected,quelques,0.06316910272430508
Théatre III_corrected,vie,0.06316910272430508
Théatre III_corrected,oifeaux,0.062175682611971636
Théatre II_corrected,eau,0.2551899367108826
Théatre II_corrected,air,0.25385349731343443
Théatre II_corrected,terre,0.22574494401347306
Théatre II_corrected,feu,0.1573991854849132
Théatre II_corrected,corps,0.15500601451588505
Théatre II_corrected,nature,0.1479687888778556
Théatre II_corrected,combien,0.13387652327044078
Théatre II_corrected,pourquoy,0.12062591862744709
Théatre II_corrected,froid,0.11683912011933584
Théatre II_corrected,nuée,0.10460776980001195
Théatre II_corrected,entre,0.10118519066887276
Théatre II_corrected,fortes,0.09893663087623113
Théatre II_corrected,grand,0.09687875907242816
Théatre II_corrected,fumée,0.09469833613369624
Théatre II_corrected,elements,0.09295432144544974
Théatre II_corrected,exhalation,0.08877969012534022
Théatre II_corrected,foit,0.08611445250882503
Théatre II_corrected,metaux,0.08345651437095417
Théatre II_corrected,chose,0.08220488270991978
Théatre II_corrected,moins,0.0809481525350982
Théatre II_corrected,choses,0.0786995927424566
Théatre II_corrected,bien,0.07420247315717336
Théatre II_corrected,argent,0.07335366275645616
Théatre II_corrected,grefle,0.07069723556413132
Théatre II_corrected,proportion,0.06762330531374429
Théatre II_corrected,genres,0.06525898667458276
Théatre II_corrected,fois,0.06520823398660688
Théatre II_corrected,cefte,0.06448349246908049
Théatre II_corrected,là,0.06295967419396527
Théatre II_corrected,fin,0.062432978068898144
Théatre IV_corrected,ame,0.34421598837752937
Théatre IV_corrected,corps,0.2194583584414329
Théatre IV_corrected,chose,0.2086713135535889
Théatre IV_corrected,entendement,0.17170877813310872
Théatre IV_corrected,sens,0.14392331985665058
Théatre IV_corrected,foit,0.14093656046697528
Théatre IV_corrected,fois,0.1366870504910887
Théatre IV_corrected,ames,0.12296058528421595
Théatre IV_corrected,choses,0.11145251809273386
Théatre IV_corrected,homme,0.09883525189355645
Théatre IV_corrected,pource,0.09604160626106223
Théatre IV_corrected,moins,0.09252661879396773
Théatre IV_corrected,rayons,0.08965771947275437
Théatre IV_corrected,yeux,0.08872770643762941
Théatre IV_corrected,quand,0.08858869515067017
Théatre IV_corrected,forme,0.08786160570677427
Théatre IV_corrected,organes,0.08316900875976427
Théatre IV_corrected,bien,0.07990935259479032
Théatre IV_corrected,faut,0.07570359719506452
Théatre IV_corrected,vegetale,0.07337274743528399
Théatre IV_corrected,ariftote,0.07079360921114336
Théatre IV_corrected,faculté,0.07053541651165486
Théatre IV_corrected,non,0.07046828023348764
Théatre IV_corrected,cœur,0.06929659081998239
Théatre IV_corrected,mefine,0.06768640668677965
Théatre IV_corrected,rien,0.06644152136300263
Théatre IV_corrected,agent,0.06642218941253566
Théatre IV_corrected,tue,0.0662836955669397
Théatre IV_corrected,faire,0.06442814192776013
Théatre IV_corrected,doncques,0.06327080031389697
Théatre I_corrected,corps,0.21132795880972027
Théatre I_corrected,choses,0.193652197099205
Théatre I_corrected,chose,0.18922733012857323
Théatre I_corrected,nature,0.18052722299622503
Théatre I_corrected,monde,0.17617716943005093
Théatre I_corrected,forme,0.17182711586387683
Théatre I_corrected,cause,0.1707470985175786
Théatre I_corrected,mouvement,0.1697448929830753
Théatre I_corrected,principe,0.13510307808857014
Théatre I_corrected,foit,0.12759423928134056
Théatre I_corrected,matiere,0.12701918304356455
Théatre I_corrected,elements,0.12297209854369079
Théatre I_corrected,rien,0.11563227934871487
Théatre I_corrected,causes,0.11383352074284121
Théatre I_corrected,principes,0.09080284090200744
Théatre I_corrected,dieu,0.08572737951715068
Théatre I_corrected,lieu,0.0848260445403949
Théatre I_corrected,pourquoy,0.0819175772481163
Théatre I_corrected,naturel,0.07836045260834733
Théatre I_corrected,quand,0.0777527395620669
Théatre I_corrected,premiere,0.07704442250183426
Théatre I_corrected,fuft,0.07683762650141783
Théatre I_corrected,dire,0.07575907957329595
Théatre I_corrected,non,0.07575907957329595
Théatre I_corrected,donc,0.07496214081259547
Théatre I_corrected,efté,0.07496214081259547
Théatre I_corrected,faut,0.07496214081259547
Théatre I_corrected,terme,0.07476176302064289
Théatre I_corrected,bien,0.07287985912335672
Théatre I_corrected,ariftote,0.0726965475150547
Théatre V_corrected,diametre,0.22400257057821446
Théatre V_corrected,soleil,0.1972669344311448
Théatre V_corrected,terre,0.19605229602270696
Théatre V_corrected,lune,0.16351302993090314
Théatre V_corrected,cents,0.15821852915164356
Théatre V_corrected,fois,0.15365472966969862
Théatre V_corrected,estoiles,0.14864851105754984
Théatre V_corrected,mille,0.14737331583348942
Théatre V_corrected,grand,0.14258857820981255
Théatre V_corrected,minutes,0.13746815117435782
Théatre V_corrected,mouvement,0.12977997099041894
Théatre V_corrected,orbes,0.12444587254345248
Théatre V_corrected,diametres,0.10997452093948624
Théatre V_corrected,vingt,0.10160705142867459
Théatre V_corrected,quatre,0.09505905213987503
Théatre V_corrected,trois,0.09382991046686748
